SKU,SAP PRODUCT DESC EN,SAP PRODUCT DESC FR,SKU STATUS,CATEGORY,SUB CATEGORY,CLASS,BRAND,DEVICE OEM,DEVICE,COLOUR,VENDOR,PART NUMBER,UPC,CURRENCY,ORIGINAL MSRP,CURRENT MSRP
NCRA1054B,Libratel Magnetic Vent Car Mount BULK,Libratel Support Magnetique AutoAir BULK,ZD,07 - Other,Mounts & Stands,Mounts & Stands,LBT,Universal,Universal,Black,LIBRATEL,MAGVNT,,CAD,$24.99,$24.99
NCRA1054B,Libratel Magnetic Vent Car Mount BULK,Libratel Support Magnetique Auto Air BULK,ZD,07 - Other,Mounts & Stands,Mounts & Stands,LBT,,,Black,LIBRATEL,MAGVNT,,CAD,$24.99,$24.99
NCRA1055,POPSOCKETS CAR MOUNT,PopSockets Monture de Voiture Noir,ND,07 - Other,Mounts & Stands,Mounts & Stands,PopSockets,Universal,Universal,Black,CESIUM TELCOM INC,104-1184,6.29E+11,CAD,$15.00,$14.99
NCRA1055B,POPSOCKETS CAR MOUNT bulk,PopSockets Monture de Voiture Noir bulk,ZD,07 - Other,Mounts & Stands,Mounts & Stands,PopSockets,Universal,Universal,Black,CESIUM TELCOM INC,104-1184,-,CAD,$15.00,$15.00
NCRA1055C,PopSockets PopVent Black,BOAT BAG CRL/CHOC FELT/LEATHER,ZD,07 - Other,Mounts & Stands,Mounts & Stands,PopSockets,Universal,Universal,Black,CESIUM TELCOM INC,801367,8.43E+11,CAD,$19.99,$19.99
NCSDAUD1011,JABRA SPORT PLUS WIRELESS EARBUDS DEMO,JABRA SPORT PLUS ECOUTEURS SANS FIL DEMO,ND,04 - Audio,BT In-Ear Headphone,Entry Level,Jabra,Universal,Universal,,SALMON CAPITAL CORPORATION,100-96600003-20,6.15822E+11,CAD,$0.00,$0.00
NCSDAUD1032,JBL PULSE SPEAKER DISPLAY,JBL PULSE HAUT PARLEUR DEMO,ND,04 - Audio,Bluetooth Speaker,Premium,JBL,Universal,Universal,,ADVANCETEC INDUSTRIES INC,JBLPULSEBLKAM-Z,50036319881,CAD,$0.00,$0.00
NCSDAUD1054,BEATS SOLO HD 2 ON EAR WHP BLACK,BEATS SOLO HD 2 NOIR,ND,04 - Audio,BT On-Ear Headphone,Premium,Beats,Universal,Universal,Black,APPLE CANADA,MH8W2AM/A,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1055,BEATS SOLO HD 2 WHITE DEMO,BEATS SOLO HD 2 BLANC DEMO,ND,04 - Audio,BT On-Ear Headphone,Premium,Beats,Universal,Universal,,APPLE CANADA,MH8X2AM/A,6.29018E+11,CAD,$0.00,$0.00
NCSDAUD1056,BEATS SOLO 2 BLUE DISPLAY,BEATS SOLO 2 BLEU DISPLAY,ND,04 - Audio,BT On-Ear Headphone,Premium,Beats,Universal,Universal,Blue,APPLE CANADA,670-00065-00,6.29018E+11,CAD,$0.00,$0.00
