SKU,SAP PRODUCT DESC EN,SAP PRODUCT DESC FR,SKU STATUS,CATEGORY,SUB CATEGORY,CLASS,BRAND,DEVICE OEM,DEVICE,COLOUR,VENDOR,PART NUMBER,UPC,CURRENCY,ORIGINAL MSRP,CURRENT MSRP
NBCH1080,JUST MOBILE GUM PORTABLE BATTERY GOLD,GUM CHARGEUR USB PORTABLE PILE 25 AMP OR,ND,03 - Charging,Portable Power,<5K mAh,Just Mobile,Universal,Universal,,CESIUM TELCOM INC,PP268AGD,8.85335E+11,CAD,$69.99,$9.99
NBCH1081,MOPHIE JUICE PACK SS GALAXY S6 BLACK,MOPHIE JUICE PACK SSS6 NOIR CAS DE CHARG,ND,01 - Cases,Specialty,Charging Case,Mophie,Samsung,Galaxy S6,Black,SUPERIOR COMMUNICATIONS CANADA ULC,3204JPSGS6BLK,8.10472E+11,CAD,$119.99,$119.99
NBCH1082,MOPHIE JUICE PACK SS GALAXY S6 WHITE,MOPHIE JUICE PACK SSS6 BLANC CAS DECHARG,ND,01 - Cases,Specialty,Charging Case,Mophie,Samsung,Galaxy S6,White,SUPERIOR COMMUNICATIONS CANADA ULC,3205JPSGS6WHT,8.10472E+11,CAD,$119.99,$119.99
NBCH1083,MOPHIE JUICE PACK SS GALAXY S6 GOLD,MOPHIE JUICE PACK SSS6 DORE CAS DE CHARG,ND,01 - Cases,Specialty,Charging Case,Mophie,Samsung,Galaxy S6,,SUPERIOR COMMUNICATIONS CANADA ULC,3206JPSGS6GLD,8.10472E+11,CAD,$119.99,$119.99
NBCH1084,MOPHIE JUICE PACK SS GALAXY 6E BLACK,MOPHIE JUICE PACK SS6E NOIR CAS DE CHARG,ND,01 - Cases,Specialty,Charging Case,Mophie,Samsung,Galaxy S6 Edge,Black,SUPERIOR COMMUNICATIONS CANADA ULC,3207JPSGS6EBLK,8.10472E+11,CAD,$119.99,$119.99
NBCH1085,MOPHIE POWERSTATION IPHONE 4000MAH WHITE,MOPHIE PWRSTATION 4000 MAH UNIVRSAL BLAN,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,White,SUPERIOR COMMUNICATIONS CANADA ULC,2057JPUPWRWH,8.10472E+11,CAD,$79.99,$59.99
NBCH1087,WAKA WAKA POWER+ SOLAR CHARGER BLACK,LENERGIE WAKAWAKA NOIR,ND,03 - Charging,Other,Solar,Waka Waka,Universal,Universal,Black,NORTH POST GEAR INTERNATIONAL,WAK-PBOGOBK,6.29018E+11,CAD,$99.99,$39.99
NBCH1088,WAKA WAKA POWER+ SOLAR CHARGER WHITE,LENERGIE WAKAWAKA BLANC,ND,03 - Charging,Other,Solar,Waka Waka,Universal,Universal,White,NORTH POST GEAR INTERNATIONAL,WAK-PBOGOWH,6.29018E+11,CAD,$99.99,$39.99
NBCH1089,WAKA WAKA POWER+ SOLAR CHARGER YELLOW,LENERGIE WAKAWAKA JUANE,ND,03 - Charging,Other,Solar,Waka Waka,Universal,Universal,Yellow,NORTH POST GEAR INTERNATIONAL,WAK-PBOGOYL,6.29018E+11,CAD,$99.99,$39.99
NBCH1090,SAMSUNG AFC BATTERY PACK GOLD,SAMSUNG AFC BATTERY PACK GOLD,ND,03 - Charging,Portable Power,<5K mAh,Samsung,Universal,Universal,,SAMSUNG ELECTRONICS CANADA,EB-PN920UFEGCA,8.87276E+11,CAD,$79.99,$79.99
NBCH1091,SAMSUNG AFC BATTERY PACK SILVER,SAMSUNG AFC BATTERY PACK SILVER,ND,03 - Charging,Portable Power,<5K mAh,Samsung,Universal,Universal,Silver,SAMSUNG ELECTRONICS CANADA,EB-PN920USEGCA,8.87276E+11,CAD,$79.99,$79.99
NBCH1092,BOOSTCASE HYBRD CHRGRCASE IP 6P 2700 CLR,BOOSTCASE HYBRID CASE IP 6P 2700 ÉCLAIR,ND,01 - Cases,Specialty,Charging Case,Boostcase,Apple,iPhone 6/6S Plus,Clear,ATLANTIA HOLDING INC,BC-BCH2700IP6P-CLR,8.4942E+11,CAD,$119.99,$79.99
NBCH1093,BOOSTCASE HYBRID CHARGRCAS IP 6 2700 CLR,BOOSTCASE HYBRID CASE IP 6 2700 ÉCLAIR,ND,01 - Cases,Specialty,Charging Case,Boostcase,Apple,iPhone 6/6S,Clear,ATLANTIA HOLDING INC,BC-BCH2700IP6-CLR,8.4942E+11,CAD,$119.99,$79.99
NBCH1094,MIPOW 3000 PORTBL PWR PNK LIGHTNG CHRGR,MIPOW 3000 PORTABLE PILE ROSE LIGHTNING,ND,03 - Charging,Portable Power,<5K mAh,MiPow,Universal,Universal,Pink,CESIUM TELCOM INC,SPL06PK,8.86367E+11,CAD,$54.99,$54.99
NBCH1095,MIPOW 3000 PORTBL PWR BLUE LIGHTNG CHRGR,MIPOW 3000 PORTABLE PILE BLEU LIGHTNING,ND,03 - Charging,Portable Power,<5K mAh,MiPow,Universal,Universal,Blue,CESIUM TELCOM INC,SPL06LB,8.86367E+11,CAD,$54.99,$30.24
NBCH1095C,MIPOW 3000 PORTABLE POWER BLUE LIGHTNING,MIPOW 3000 PORTABLE PILE BLEU LIGHTNING,ND,03 - Charging,Portable Power,<5K mAh,MiPow,Universal,Universal,Blue,CESIUM TELCOM INC,SPL06A-BL,8.86367E+11,CAD,$54.99,$54.99
NBCH1096,MIPOW 9000 PORTABLE POWER CHARGER GOLD,MIPOW 9000 PORTABLE PILE DORE,ND,03 - Charging,Portable Power,5K-9K mAh,MiPow,Universal,Universal,Gold,CESIUM TELCOM INC,SPL09GD,8.86367E+11,CAD,$89.99,$49.49
NBCH1097,MIPOW POWER CUBE 9000 IN SILVER,MIPOW POWER CUBE 9000 ARGENT,ND,03 - Charging,Portable Power,5K-9K mAh,MiPow,Universal,Universal,Silver,CESIUM TELCOM INC,SPL09SR,8.86367E+11,CAD,$89.99,$89.99
NBCH1098,JUST MOBILE TOP GUM PORTABLE BATTERYGOLD,JUST MOBILE TOP GUM PORTABLE PILE GOLD,ND,03 - Charging,Portable Power,<5K mAh,Just Mobile,Universal,Universal,Gold,CESIUM TELCOM INC,PP600GD,8.85335E+11,CAD,$89.99,$59.99
NBCH1099,JUST MOBILE TOP GUM PORTABLE BATTERYSILV,JUST MOBILE TOP GUM PORTABLE PILE SILV,ND,03 - Charging,Portable Power,<5K mAh,Just Mobile,Universal,Universal,,CESIUM TELCOM INC,PP600SI,8.85335E+11,CAD,$89.99,$59.99
NBCH1100,MIPOW POWER TUBE 3000 MICRO USB PINK,MIPOW POWER TUBE 3000 MICRO USB ROSE,ND,03 - Charging,Portable Power,<5K mAh,MiPow,Universal,Universal,Pink,CESIUM TELCOM INC,SPL06M-PK,8.86367E+11,CAD,$49.99,$49.99
NBCH1101,MIPOW POWER TUBE 3000 MICRO USB BLUE,MIPOW POWER TUBE 3000 MICRO USB BLEU,ND,03 - Charging,Portable Power,<5K mAh,MiPow,Universal,Universal,Pink,CESIUM TELCOM INC,SPM06A-LB,8.86367E+11,CAD,$49.99,$10.00
NBCH1103,AGENT 18 PTBLE BAT CHRGR PREPPY 2600MAH,AGENT 18 PORTABLE PILE PREPPY 2600MAH,ND,03 - Charging,Portable Power,<5K mAh,Agent 18,Universal,Universal,Preppy,SARGAM INTERNATIONAL INC.,I2DT40-179,8.1134E+11,USD,$34.99,$34.99
NBCH1104,AGENT 18 PTBLE BAT CHRGR GOLD 2600 MAH,AGENT 18 PORTABLE PILE STRIP 2600MAH,ND,03 - Charging,Portable Power,<5K mAh,Agent 18,Universal,Universal,Gold,SARGAM INTERNATIONAL INC.,I2DT40-265,8.1134E+11,USD,$34.99,$34.99
NBCH1105,AGENT 18 PORTABLE BATTERY STRIP 2600MAH,AGENT 18 PORTABLE BATTERY STRIP 2600MAH,ND,03 - Charging,Portable Power,<5K mAh,Agent 18,Universal,Universal,,SARGAM INTERNATIONAL INC.,I2DT40-249,8.1134E+11,USD,$34.99,$24.99
NBCH1106,NATIVE UNION JUMP CABLE LIGHTNING MARINE,Native Union Jump câble Lightning Marin,ND,03 - Charging,Portable Power,<5K mAh,Native Union,Universal,Lightning,,DESIGN POOL LIMITED,JCABLE-L-MAR,8.46654E+11,CAD,$59.99,$49.99
NBCH1106C,NATIVE UNION JUMP CABLE MER LIGHTNING,NATIVEUNION SAUTER CABLE MER FOUDRE,ND,03 - Charging,Portable Power,<5K mAh,Native Union,Universal,Universal,,DESIGN POOL LIMITED,JCABLE-L-MAR-V2,8.46654E+11,CAD,$59.99,$74.99
NBCH1107,NU JMP CAB CHRGR COREL LIGHTNING,NATIVEUNION SAUTER CABLE COREL FOUDRE,ND,03 - Charging,Portable Power,<5K mAh,Native Union,Universal,Universal,Corel,DESIGN POOL LIMITED,JCABLE-L-COR,8.46654E+11,CAD,$59.99,$49.99
NBCH1108,MIPOW PB TUBE 3000 MICRO USB BLACK,MIPOW PORTABLE PILE 3000 NOIR MICRO,ND,03 - Charging,Portable Power,<5K mAh,MiPow,Universal,Universal,Black,CESIUM TELCOM INC,SPM06A-BK,8.86367E+11,CAD,$49.99,$49.99
NBCH1109,MOPHIE JUICE PACK RESERVE I6/I6S BLACK,Mophie CHARGEUR PORTABLE  I6/I6S NOIR,ND,01 - Cases,Specialty,Charging Case,Mophie,Apple,iPhone 6/6S,Black,SUPERIOR COMMUNICATIONS CANADA ULC,3353JPRIP6BK,8.10472E+11,CAD,$74.99,$74.99
NBCH1110,MOPHIE POWER RESERVE 2600MAH BLK,Mophie Pwr Rsrve 2600mAh Noir,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,Black,SUPERIOR COMMUNICATIONS CANADA ULC,3324RSV26KBK,8.10472E+11,CAD,$34.99,$24.99
NBCH1111,LP FRE POWER CASE I6SP BLACKTOP,LP FRE POWER Etui I6SP Noir,ND,01 - Cases,Specialty,Charging Case,LifeProof,Apple,iPhone 6/6S Plus,Black,OTTER PRODUCTS LLC,77-52788,6.60543E+11,CAD,$149.99,$149.99
NBCH1112,MOPHIE POWERSTATION ULTRATHIN 2X 4000MAH,Mophie Powerstation UltraThin 2X 4000mAh,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,3301_PWRSTION-4K-ALM,8.10472E+11,CAD,$59.99,$21.00
NBCH1113,MOPHIE POWER RESERVE 2600MAH ROSE GOLD,Mophie Power Rsrve I6 1840mAH RoseDore,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,Rose Gold,SUPERIOR COMMUNICATIONS CANADA ULC,3421_PWR-RESERVE-2.6K-WRGLD,8.10472E+11,CAD,$34.99,$24.99
NBCH1114,MOPHIE JUICE PACK GS7 2950MAH BLACK,Mophie Juice Pack GS7 2950mAh Noir,ND,01 - Cases,Specialty,Charging Case,Mophie,Samsung,Galaxy S7,Black,SUPERIOR COMMUNICATIONS CANADA ULC,3407_JP-SGS7-BLK,8.10472E+11,CAD,$99.99,$39.99
NBCH1115,MOPHIE JUICE PACK GS7 EDGE 3300MAH BLACK,Mophie Juice Pack GS7 Edge 3300mAh Noir,ND,01 - Cases,Specialty,Charging Case,Mophie,Samsung,Galaxy S7 Edge,Black,SUPERIOR COMMUNICATIONS CANADA ULC,3409_JP-SGS7E-BLK,8.10472E+11,CAD,$99.99,$99.99
NBCH1116,MOPHIE POWER RESERVE CHRGER 2600MAH BLUE,Mophie PowerReserve Chrgeur 2600mAh Bleu,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,Blue,SUPERIOR COMMUNICATIONS CANADA ULC,3350RSV26KBL,6.29018E+11,CAD,$34.99,$34.99
NBCH1116B,MOPHIE PWERRSERVE CHRGER 2600MAH BLUBULK,Mophie PwerRserve Chrger 2600mAh Blubulk,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,Blue,SUPERIOR COMMUNICATIONS CANADA ULC,3350RSV26KBL,,CAD,$34.99,$34.99
NBCH1117,INCIPIO OFFGRIDPOWERPACK MOTOZ/Z PLAY,Incipio offGRID PowerPack chargeur MotoZ/Z Play,ND,03 - Charging,Other,Specialty,Motorola,Universal,Universal,N/A,MOTOROLA,11263N,7.23755E+11,CAD,$89.99,$49.99
NBCH1117DIS,INCIPIO OFFGRIDPWRPACK MOTOZ/Z PLAY DISP,Incipio offGRIDPowerPack MotoZ/Z PlayDIS,ND,03 - Charging,Other,Specialty,Motorola,Universal,Universal,N/A,MOTOROLA,LPP15368,7.23755E+11,CAD,$0.00,$0.00
NBCH1118,MOSHI IGLAZE ION IPHONE 6/6S BLACK,Moshi iGlaze Ion iPhone 6/6SNoir,ND,01 - Cases,Basic,Mid-Tier,Moshi,Apple,iPhone 6/6S,,MOSHI CORPORATION,99MO079003,6.29018E+11,USD,$109.99,$109.99
NBCH1118B,MOSHI IGLAZE ION I6/6S BLACK BULK,Moshi iGlaze Ion I6/6SNoir bulk,ND,01 - Cases,Basic,Mid-Tier,Moshi,Apple,iPhone 6/6S,,MOSHI CORPORATION,99MO079003,,USD,$109.99,$109.99
NBCH1119,MOSHI IGLAZE ION IPHONE 6/6STITANIUM,Moshi iGlaze Ion iPhone 6/6STitanium,ND,01 - Cases,Basic,Mid-Tier,Moshi,Apple,iPhone 6/6S,,MOSHI CORPORATION,99MO079204,6.29018E+11,USD,$109.99,$87.99
NBCH1119B,MOSHI IGLAZE ION I6/6STITANIUM BULK,Moshi iGlaze Ion I6/6STitanium bulk,ND,01 - Cases,Basic,Mid-Tier,Moshi,Apple,iPhone 6/6S,,MOSHI CORPORATION,99MO079204,,USD,$109.99,$109.99
NBCH1120,MOPHIE JUICEPACK WIRELESS BNDLE IP6/IP6S,Mophie Juicepack Sansfil Bndle iP6/iP6S,ND,01 - Cases,Specialty,Charging Case,Mophie,Apple,iPhone 6/6S,,SUPERIOR COMMUNICATIONS CANADA ULC,3399JPRWI6BK,8.10472E+11,CAD,$99.99,$129.99
NBCH1121,MOPHIE POWERSTATION MINI 3000MAH BLACK,Mophie Powerstation Mini3000mAh Noir,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,Black,SUPERIOR COMMUNICATIONS CANADA ULC,MOP3556BK6B,8.10472E+11,CAD,$29.99,$24.99
NBCH1122,MOPHIE POWERSTATION MINI 3000MAH BLUE,Mophie Powerstation Mini 3000mAh Bleu,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,MOP3558BU6B,8.10472E+11,CAD,$29.99,$19.99
NBCH1123,MOPHIE POWERSTATION 6000MAH SPACE GREY,Mophie Powerstation 6000mAh Gris,ND,03 - Charging,Portable Power,5K-9K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,MOP3559GY,8.10472E+11,CAD,$49.99,$12.99
NBCH1124,MOPHIE POWERSTATION 6000MAH ROSE GOLD,Mophie Powerstation 6000mAh Rose Dore,ND,03 - Charging,Portable Power,5K-9K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,MOP3560RGDB,8.10472E+11,CAD,$49.99,$12.99
NBCH1125,MOPHIE PWRSTATIONPLUS MINI 4000MAH SPGRY,Mophie PwrstationPlus Mini 4000mAh Gris,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,MOP3460GYDB,8.10472E+11,CAD,$59.99,$54.99
NBCH1126,MOPHIE PWRSTATIONPLUS MINI 4000MAH RSGLD,Mophie PwrstationPlus Mini 4000mAh RsDre,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,MOP3543RGDB,8.10472E+11,CAD,$59.99,$14.99
NBCH1127,MOPHIE PWRSTATION XL 10000MAH SPGRY,Mophie Pwrstation XL 10000mAh Gris,ND,03 - Charging,Portable Power,10K-14K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,MOP3562GYDB,8.10472E+11,CAD,$69.99,$17.99
NBCH1128,MOPHIE POWERSTATION XL 10000MAH RSGOLD,Mophie Powerstation XL 10000mAh RsDore,ND,03 - Charging,Portable Power,10K-14K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,MOP3563RGD,8.10472E+11,CAD,$69.99,$17.99
NBCH1129,WATTZUP PWRBANK 2600MAH UNIHORNE WHITE,Wattzup ChgrPrtbl 2600mAH Unihorne Blanc,ND,03 - Charging,Portable Power,<5K mAh,Wattzup,Universal,Universal,,MICROCEL TECHNICAL SERVICES,003UNIC,6.27725E+11,CAD,$39.99,$14.99
NBCH1130,WATTZUP PWRBANK 2600MAH UNIHORNE PURPLE,Wattzup ChgrPrtbl 2600mAH UnihorneViolet,ND,03 - Charging,Portable Power,<5K mAh,Wattzup,Universal,Universal,,MICROCEL TECHNICAL SERVICES,003UNIPRP,6.27725E+11,CAD,$39.99,$14.99
NBCH1131,WATTZUP PWRBANK 2600MAH EMOJI LOVESTRUCK,Wattzup ChgrPrtbl 2600mAH EmojiLamour,ND,03 - Charging,Portable Power,<5K mAh,Wattzup,Universal,Universal,,MICROCEL TECHNICAL SERVICES,003QSKISSY,6.27725E+11,CAD,$39.99,$14.99
NBCH1132,WATTZUP PWRBANK 2600MAH EMOJI SMTTNKITTN,Wattzup ChgrPrtbl 2600mAH EmojiChat,ND,03 - Charging,Portable Power,<5K mAh,Wattzup,Universal,Universal,,MICROCEL TECHNICAL SERVICES,003QSKATHEARTS,6.27725E+11,CAD,$39.99,$14.99
NBCH1133,WATTZUP PWRBANK 2600MAH POOP BROWN,Wattzup ChgrPrtbl 2600mAH Poop Brun,ND,03 - Charging,Portable Power,<5K mAh,Wattzup,Universal,Universal,,MICROCEL TECHNICAL SERVICES,WUPOOP10,6.27725E+11,CAD,$39.99,$24.99
NBCH1134,WATTZUP PWRBANK 2600MAH POOP PINK,Wattzup ChgrPrtbl 2600mAH Poop Rose,ND,03 - Charging,Portable Power,<5K mAh,Wattzup,Universal,Universal,,MICROCEL TECHNICAL SERVICES,001POOPPNK,6.27725E+11,CAD,$39.99,$24.99
NBCH1135,MOPHIE JUICE PACK AIR FOR IPHONE 7 BLK,MOPHIE JUICE PACK AIR FOR IPHONE 7 NOIR,ND,01 - Cases,Specialty,Charging Case,Mophie,Apple,iPhone 7/8,Black,SUPERIOR COMMUNICATIONS CANADA ULC,3673JPAIP7BLK,8.10472E+11,CAD,$99.99,$69.99
NBCH1136,MOPHIE JUICE PACK AIR FOR IPHONE 7P BLK,MOPHIE JUICE PACK AIR FOR IPHONE 7P NOIR,ND,01 - Cases,Specialty,Charging Case,Mophie,Apple,iPhone 7/8 Plus,Black,SUPERIOR COMMUNICATIONS CANADA ULC,3679JPAIP7PBLK,8.10472E+11,CAD,$99.99,$24.99
NBCH1137,MOPHIE CHARGE FORCE SS GS8 CASE BUNDLE,Mophie Charge Force Samsung Galaxy S8 Case Bundle,ND,01 - Cases,Specialty,Charging Case,Mophie,Samsung,Galaxy S8,Black,SUPERIOR COMMUNICATIONS CANADA ULC,15722VRP,8.10E+11,CAD,$99.99,$69.99
NBCH1138,MOPHIE CHARGE FORCE SS GS8+ CASE BUNDLE,Mophie Charge Force Samsung Galaxy S8+ Case Bundle,ND,01 - Cases,Specialty,Charging Case,Mophie,Samsung,Galaxy S8+,Black,SUPERIOR COMMUNICATIONS CANADA ULC,15723VRP,8.10E+11,CAD,$99.99,$39.99
NBCH2000,BELKIN POCKET POWER 5000 MAH BLACK,BELKIN POCKET POWER 5000 MAH NOIR,ZD,03 - Charging,Portable Power,5K-9K mAh,Belkin,Universal,Universal,Black,MICROCEL TECHNICAL SERVICES,F7U019btBLK,7.46E+11,CAD,$34.99,$39.99
NBCH2001,BELKIN POCKET POWER 10000 MAH BLACK,KDO BELKIN POCKET POWER 5000 MAH NOIR,ZD,03 - Charging,Portable Power,5K-9K mAh,Belkin,Universal,Universal,Black,MICROCEL TECHNICAL SERVICES,F7U020btBLK,7.46E+11,CAD,$49.99,$54.99
NBCH2005,Mophie Powerstation+ Mini USBC 4000mAh- Blk,Mophie Powerstation Plus Mini USBC 4000mAh- Noir,ND,03 - Charging,Portable Power,<5K mAh,Mophie,Universal,Universal,Black,SUPERIOR COMMUNICATIONS CANADA ULC,4161_PSPLUS-USBC-4K-MBK,8.40E+11,CAD,$69.99,$54.99
NBCH2006,Mophie Powerstation+ USBC 6000mAh- Blk,Mophie Powerstation Plus USBC 6000mAh- Noir,ND,03 - Charging,Portable Power,5K-9K mAh,Mophie,Universal,Universal,Black,SUPERIOR COMMUNICATIONS CANADA ULC,4112_PSPLUS-USBC-6K-MBK,8.40E+11,CAD,$99.99,$84.99
NBCH2007,Mophie Charge Stream Powerstation 6000mAh,Mophie Courant de Charge Powerstation 6000mAh ,ND,03 - Charging,Portable Power,5K-9K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,401101514,8.48E+11,CAD,$79.99,$74.99
NBCH2008,Mophie Charge Stream Powerstation 10000mAh,Mophie Courant de Charge Powerstation 10000mAh ,ND,03 - Charging,Portable Power,10K-14K mAh,Mophie,Universal,Universal,,SUPERIOR COMMUNICATIONS CANADA ULC,401101510,8.48E+11,CAD,$99.99,$94.99
NBCH2012,Samsung Portable Wireless Chrgr 10k Slvr,Samsung Chrgr Portable Sans Fil 10k Argt,ZZ,03 - Charging,Portable Power,10K-14K mAh,Samsung,Universal,Universal,Silver,SAMSUNG ELECTRONICS CANADA,EB-U1200CSEGCA,8.87E+11,CAD,$79.99,$79.99
NBLC1001,REPLACEMENT SWIVEL BELT CLIP,REPLACEMENT SWIVEL BELT CLIP,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Unsure or N/A,Universal,Universal,N/A,A.E. EXPORTS (USA) INC,0,6.29018E+11,USD,$1.99,$1.99
NBTCH1070,LIFEPROOF FRE POWER BLACK IPHONE 6,LIFEPROOF FRE POWER NOIR IPHONE 6,ND,01 - Cases,Specialty,Charging Case,LifeProof,Apple,iPhone 6/6S,Black,OTTER PRODUCTS LLC,77-50376,6.60543E+11,CAD,$149.00,$49.99
NBTCH1070c,LP FRE POWER CHARGING CASE BLACK I6S,LP FRE POWER ETUI CHARGEUR NOIR I6S,ND,01 - Cases,Specialty,Charging Case,LifeProof,Apple,iPhone 6/6S,Black,OTTER PRODUCTS LLC,77-52785,6.60543E+11,CAD,$150.00,$49.99
NBTCH1071,LP FRE POWER CHARGING CASE GLACIER I6S,LP FRE POWER ETUI CHARGEUR BLANC I6S,ND,01 - Cases,Specialty,Charging Case,LifeProof,Apple,iPhone 6/6S,Glacier,OTTER PRODUCTS LLC,77-50377,6.60543E+11,USD,$149.00,$149.00
NBTCH1071C,LP FRE POWER CHARGING CASE GLACIER I6S,LP FRE POWER ETUI CHARGEUR BLANC I6S,ND,01 - Cases,Specialty,Charging Case,LifeProof,Apple,iPhone 6/6S,Glacier,OTTER PRODUCTS LLC,77-52786,6.60543E+11,CAD,$150.00,$49.99
NBTD1051,DOOR BATT STAND FOR RIM 8830,COUVERCLE DE PILE STAND P/RIM 8830,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Blackberry,Universal,Universal,N/A,BLACKBERRY,0,,USD,$9.99,$9.99
NBTD1124,BLACKBERRY 9700 STANDARD BATTERY DOOR,PORTE DE PILE P/BLACKBERRY 9700,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Blackberry,Universal,Universal,Black,BLACKBERRY,0,6.29018E+11,USD,$9.99,$9.99
NBTD1165,NOKIA 3710 DOOR,NOKIA 3710 PORTE DE PILE,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Nokia,Universal,Universal,N/A,NOKIA,254040,6.29018E+11,USD,$4.99,$4.99
NBTD1174,HTC STATUS BATTERY DOOR,HTC STATUS PORTE DE PILE,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,HTC,Universal,Universal,N/A,HIGH TECH COMPUTER CORP,74H01996-00M,6.29018E+11,USD,$14.99,$14.99
NBTD1177,RIM BOLD 9900 BATTERY DOOR BLACK,RIM BOLD 990 PORTE DE PILE NOIR,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Blackberry,Universal,Universal,Black,BLACKBERRY,ASY-33207-001,6.29018E+11,USD,$49.99,$49.99
NBTD1184,HTC AMAZE 4G BATTERY DOOR OEM,HTC AMAZE 4G PORTE DE PILE OEM,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,HTC,Universal,Universal,N/A,HIGH TECH COMPUTER CORP,74H02028-02M,,USD,$19.99,$19.99
NBTD1194,LG A341 BATTERY DOOR,LG A341 PORTE DE PILE,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,LG,Universal,Universal,N/A,LG ELECTRONICS CANADA INC,MCK66976511,6.29018E+11,USD,$9.99,$9.99
NBTD1195,HTC VILLE BATTERY DOOR,HTC VILLE PORTE DE PILE,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,HTC,Universal,Universal,N/A,HIGH TECH COMPUTER CORP,74H02170-00M,6.29018E+11,USD,$19.99,$19.99
NBTD1198,BATTERY DOOR BLACK FOR BB CURVE 9320,PORTE DE PILE NOIR BB CURVE 9320,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Blackberry,Universal,Universal,Black,BLACKBERRY,ASY-47738-001,8.43163E+11,USD,$19.99,$19.99
NBTD1199,BATTERY DOOR WHITE FOR SS GALAXY S III,PORTE DE PILE BLANC SS GALAXY S III,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Samsung,Universal,Universal,White,SAMSUNG ELECTRONICS CANADA,EBC-1L2SWEBCAN,6.29018E+11,USD,$19.99,$19.99
NBTD1200,BATTERY DOOR BLUE FOR SS GALAXY S III,PORTE DE PILE BLEU SS GALAXY S III,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Samsung,Universal,Universal,Blue,SAMSUNG ELECTRONICS CANADA,GH98-24255A,6.29018E+11,CAD,$19.99,$19.99
NBTD1204,BATTERY DOOR NOTE 2 SILVER,PORTE DE PILE NOTE 2 ARGENT,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Samsung,Universal,Universal,Silver,SAMSUNG ELECTRONICS CANADA,GH98-24445B,6.29018E+11,USD,$29.99,$29.99
NBTD1209,BATTERY DOOR SAMSUNG RUGBY LTE,PORTE DE PILE SS RUGBY LTE,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Samsung,Universal,Universal,N/A,SAMSUNG ELECTRONICS CANADA,GH98-25446A,6.29018E+11,CAD,$29.99,$29.99
NBTD1214,BLACKBERRY Z10 BATTERY DOOR BLACK,BLACKBERRY Z10 PORTE DE PILE NOIR,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Blackberry,Universal,Universal,Black,BLACKBERRY,ASY-48092-002,6.29018E+11,USD,$39.99,$39.99
NBTD1215,BLACKBERRY Z10 BATTERY DOOR WHITE,BLACKBERRY Z10 PORTE DE PILE BLANC,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Blackberry,Universal,Universal,Black,BLACKBERRY,ASY-48092-001,6.29018E+11,USD,$39.99,$39.99
NBTD1216,SAMSUNG RUGBY III BATTERY DOOR,SAMSUNG RUGBY III PORT DE PILE,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Samsung,Universal,Universal,N/A,SAMSUNG ELECTRONICS CANADA,GH98-26720A,6.29018E+11,USD,$29.99,$29.99
NBTD1218,SAMSUNG SIV BATTERY DOOR WHITE,SAMSUNG SIV PORT DE PILE BLANC,ND,08 - TELUS Non-Accessories,Replacement Part,Battery door,Samsung,Universal,Universal,White,SAMSUNG ELECTRONICS CANADA,EB-CI950SWUBCA,6.29018E+11,USD,$29.99,$29.99
